C00000729|09102017|250|2|500
C00000729|09112017|1000|2|2000
C00000729|09142017|1000|2|2000
C00000729|09152017|250|2|500
C00000729|09182017|500|38|25000
C00000729|09192017|250|2|500
C00000729|09212017|250|6|1166
C00000729|09222017|250|18|8748
C00000729|09242017|271|4|1082
C00000729|09252017|250|8|3166
C00000729|09262017|250|6|1082
C00000729|09272017|1000|2|2000
C00000729|09282017|175|4|700
C00000729|09292017|375|8|4000
C00000729|09302017|313|8|3750
C00000885|02092017|250|220|60060
C00000885|02282017|225|4|900
C00000885|03012017|4|208|874
C00000885|03032017|250|54|7896
C00000885|03072017|250|26|6460
C00000885|03212017|108|194|27950
C00000885|03292017|8|216|2824
C00000885|04052017|250|240|60600
C00000885|04132017|250|134|33500
C00000885|04182017|0|2|0
C00000885|04202017|20|30|896
C00000885|04242017|10|240|2186
C00000885|05082017|0|8|20
C00000885|05182017|28|56|1770
C00000885|05232017|50|338|22760
C00000885|05252017|10|192|1680
C00000885|06072017|0|6|18
C00000885|06202017|20|34|744
C00000885|06232017|9|208|1776
C00000885|07182017|50|268|13494
C00000885|07262017|20|50|1024
C00000885|07272017|8|328|2524
C00000885|08082017|8|154|1280
C00000885|08142017|20|30|508
C00000885|08182017|10|256|2086
C00000885|09012017|9|2|18
C00000885|09072017|40|378|21198
C00000885|09182017|20|42|1816
C00000885|09222017|108|252|36224
C00000885|09252017|9|380|3126
C00000885|09272017|0|2|0
C00000901|01032017|250|6|1730
C00000901|01042017|625|2|1250
C00000901|01052017|1500|2|3000
C00000901|01062017|375|4|1500
C00000901|01082017|250|6|1500
C00000901|01092017|250|2|500
C00000901|01112017|250|2|500
C00000901|01122017|365|2|730
C00000901|01132017|1000|2|2000
C00000901|01152017|365|2|730
C00000901|01162017|250|4|1000
C00000901|01182017|308|4|1230
C00000901|01192017|250|2|500
C00000901|01202017|221|4|884
C00000901|01212017|250|14|3730
C00000901|01222017|250|4|1000
C00000901|01232017|625|2|1250
C00000901|01262017|250|2|500
C00000901|01282017|250|6|3500
C00000901|02012017|1000|18|32000
C00000901|02022017|250|38|22910
C00000901|02032017|250|48|19302
C00000901|02042017|1000|10|25250
C00000901|02052017|250|26|7250
C00000901|02062017|250|38|19750
C00000901|02072017|250|116|84892
C00000901|02082017|250|90|26000
C00000901|02092017|250|4|1000
C00000901|02102017|250|42|14250
C00000901|02112017|250|4|1000
C00000901|02122017|250|4|1000
C00000901|02132017|250|8|2200
C00000901|02152017|250|6|4332
C00000901|02162017|1000|2|2000
C00000901|02172017|96|24|3112
C00000901|02182017|5000|2|10000
C00000901|02192017|625|14|6500
C00000901|02202017|250|4|1000
C00000901|02212017|365|2|730
C00000901|02222017|2625|4|10500
C00000901|02232017|1000|14|10330
C00000901|02242017|250|10|4750
C00000901|02262017|365|4|1460
C00000901|02272017|250|6|1500
C00000901|02282017|1000|24|20980
C00000901|03012017|250|2|500
C00000901|03022017|250|2|500
C00000901|03032017|96|22|2612
C00000901|03042017|250|2|500
C00000901|03062017|1000|18|32164
C00000901|03072017|625|26|33310
C00000901|03082017|250|26|11750
C00000901|03092017|625|26|37582
C00000901|03102017|250|14|5500
C00000901|03132017|333|4|1330
C00000901|03142017|625|2|1250
C00000901|03152017|250|6|2250
C00000901|03172017|38|48|3600
C00000901|03192017|625|2|1250
C00000901|03202017|250|2|500
C00000901|03222017|250|10|2500
C00000901|03232017|250|6|1500
C00000901|03242017|250|18|2850
C00000901|03252017|250|4|1000
C00000901|03262017|250|2|500
C00000901|03282017|1000|8|9500
C00000901|03312017|38|46|3100
C00000901|04022017|250|2|500
C00000901|04032017|683|12|17062
C00000901|04042017|1000|14|19000
C00000901|04052017|250|2|500
C00000901|04062017|250|2|500
C00000901|04072017|365|18|12460
C00000901|04082017|250|6|1500
C00000901|04092017|250|2|500
C00000901|04112017|250|2|500
C00000901|04122017|365|2|730
C00000901|04132017|365|2|730
C00000901|04142017|38|46|3216
C00000901|04152017|1000|2|2000
C00000901|04162017|250|2|500
C00000901|04182017|250|2|500
C00000901|04192017|250|2|500
C00000901|04202017|625|4|2500
C00000901|04212017|250|12|3000
C00000901|04222017|250|4|1000
C00000901|04232017|625|2|1250
C00000901|04242017|625|26|18270
C00000901|04252017|250|2|500
C00000901|04262017|250|2|500
C00000901|04282017|96|52|6216
C00000901|05012017|1000|18|20062
C00000901|05022017|365|42|17360
C00000901|05032017|250|20|5000
C00000901|05052017|250|22|6250
C00000901|05062017|250|34|11500
C00000901|05072017|250|72|24000
C00000901|05082017|250|88|26250
C00000901|05092017|250|2|500
C00000901|05102017|1000|114|102956
C00000901|05112017|365|32|13640
C00000901|05122017|96|56|6696
C00000901|05132017|250|6|1500
C00000901|05152017|365|14|6580
C00000901|05162017|400|18|10930
C00000901|05172017|250|2|500
C00000901|05192017|438|16|7000
C00000901|05202017|250|4|1000
C00000901|05222017|250|2|500
C00000901|05242017|1000|70|55276
C00000901|05262017|38|48|3292
C00000901|05272017|250|2|500
C00000901|05282017|250|2|500
C00000901|05302017|100|10|880
C00000901|06012017|1000|26|29556
C00000901|06022017|563|24|17408
C00000901|06032017|250|18|4500
C00000901|06042017|250|2|500
C00000901|06072017|375|4|1500
C00000901|06082017|250|18|5250
C00000901|06092017|96|58|6868
C00000901|06102017|250|6|1500
C00000901|06132017|959|4|3834
C00000901|06142017|625|2|1250
C00000901|06152017|438|4|1750
C00000901|06192017|625|2|1250
C00000901|06202017|250|2|500
C00000901|06222017|250|12|4500
C00000901|06232017|67|56|4868
C00000901|06242017|250|8|2000
C00000901|06252017|250|4|1000
C00000901|06262017|250|2|500
C00000901|06272017|365|20|10650
C00000901|06282017|433|24|22342
C00000901|06292017|25|74|2110
C00000901|06302017|1000|6|4500
C00000901|07012017|250|8|2000
C00000901|07032017|250|4|1000
C00000901|07042017|625|2|1250
C00000901|07052017|225|4|900
C00000901|07062017|500|34|44560
C00000901|07072017|38|50|3484
C00000901|07082017|250|6|1500
C00000901|07092017|308|4|1230
C00000901|07112017|25|48|6240
C00000901|07122017|250|2|500
C00000901|07162017|250|2|500
C00000901|07182017|40|56|41554
C00000901|07192017|250|30|6540
C00000901|07212017|38|80|6736
C00000901|07232017|625|2|1250
C00000901|07252017|250|2|500
C00000901|07262017|1000|14|11500
C00000901|07282017|250|4|1000
C00000901|07312017|40|14|5370
C00000901|08022017|250|52|30910
C00000901|08032017|1666|88|117724
C00000901|08042017|38|68|6208
C00000901|08052017|250|20|5750
C00000901|08062017|250|30|7500
C00000901|08072017|250|64|19750
C00000901|08082017|250|84|25250
C00000901|08092017|5000|2|10000
C00000901|08102017|250|32|8000
C00000901|08112017|250|4|1000
C00000901|08122017|250|8|2750
C00000901|08132017|250|6|1500
C00000901|08142017|1000|70|68748
C00000901|08152017|250|6|1500
C00000901|08172017|500|28|17920
C00000901|08182017|38|78|22438
C00000901|08192017|495|16|7230
C00000901|08202017|250|4|1000
C00000901|08222017|625|4|2500
C00000901|08232017|365|2|730
C00000901|08242017|250|30|9790
C00000901|08252017|250|6|2000
C00000901|08272017|250|2|500
C00000901|08282017|250|2|500
C00000901|08312017|358|4|1430
C00000901|09012017|38|66|3708
C00000901|09032017|250|20|6500
C00000901|09042017|250|2|500
C00000901|09062017|50|14|640
C00000901|09072017|250|2|500
C00000901|09082017|488|40|34350
C00000901|09092017|438|8|3500
C00000901|09102017|250|6|1500
C00000901|09112017|750|16|21500
C00000901|09132017|960|6|4420
C00000901|09142017|625|2|1250
C00000901|09152017|38|70|5458
C00000901|09182017|1000|2|2000
C00000901|09192017|365|44|33780
C00000901|09202017|308|20|6900
C00000901|09212017|500|6|3136
C00000901|09222017|250|8|2000
C00000901|09232017|250|6|1500
C00000901|09242017|250|8|2000
C00000901|09252017|175|4|700
C00000901|09262017|250|2|500
C00000901|09272017|563|16|12650
C00000901|09282017|1000|2|2000
C00000901|09292017|38|68|3736
C00000901|09302017|308|4|1230
C00000935|01012017|20|30|1660
C00000935|01022017|25|170|13518
C00000935|01032017|25|464|22788
